REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2010,43,X,2.2765,274,36,12036
Alaska,2010,43,X,0.967742,18,8,1860
Arizona,2010,43,X,0.888804,233,52,26215
Arkansas,2010,43,X,0.41365,12,14,2901
California,2010,43,X,1.91748,666,130,34733
Colorado,2010,43,X,0.909658,175,11,19238
Connecticut,2010,43,X,0.333542,16,22,4797
Delaware,2010,43,X,0.460494,19,14,4126
District of Columbia,2010,43,X,3.11632,101,4,3241
Florida,2010,43,X,X,X,X,X
Georgia,2010,43,X,2.38747,881,60,36901
Hawaii,2010,43,X,1.57434,27,18,1715
Idaho,2010,43,X,1.28007,58,12,4531
Illinois,2010,43,X,1.45762,623,79,42741
Indiana,2010,43,X,0.581084,76,45,13079
Iowa,2010,43,X,0.183225,9,10,4912
Kansas,2010,43,X,0.538071,53,43,9850
Kentucky,2010,43,X,0.150108,27,15,17987
Louisiana,2010,43,X,1.92854,326,39,16904
Maine,2010,43,X,0.338409,22,30,6501
Maryland,2010,43,X,1.26769,146,20,11517
Massachusetts,2010,43,X,0.783721,228,52,29092
Michigan,2010,43,X,0.921435,152,51,16496
Minnesota,2010,43,X,0.637716,42,18,6586
Mississippi,2010,43,X,3.14804,538,47,17090
Missouri,2010,43,X,0.959713,91,31,9482
Montana,2010,43,X,0.0363901,1,7,2748
Nebraska,2010,43,X,2.05761,60,14,2916
Nevada,2010,43,X,2.14451,241,34,11238
New Hampshire,2010,43,X,0.178795,10,29,5593
New Jersey,2010,43,X,2.79286,216,23,7734
New Mexico,2010,43,X,2.35498,190,24,8068
New York,2010,43,X,0.358981,53,98,14764
North Carolina,2010,43,X,0.511163,136,74,26606
North Dakota,2010,43,X,0.339239,18,20,5306
Ohio,2010,43,X,0.329518,57,49,17298
Oklahoma,2010,43,X,1.67073,48,18,2873
Oregon,2010,43,X,0.751771,52,22,6917
Pennsylvania,2010,43,X,0.72118,133,65,18442
Rhode Island,2010,43,X,0.322675,22,21,6818
South Carolina,2010,43,X,0.418354,31,22,7410
South Dakota,2010,43,X,0.801311,44,19,5491
Tennessee,2010,43,X,0.401638,51,52,12698
Texas,2010,43,X,2.20655,1117,96,50622
Utah,2010,43,X,0.755957,46,15,6085
Vermont,2010,43,X,1.44393,47,11,3255
Virginia,2010,43,X,1.26902,763,83,60125
Washington,2010,43,X,0.95511,30,15,3141
West Virginia,2010,43,X,1.81171,173,32,9549
Wisconsin,2010,43,X,1.01049,53,46,5245
Wyoming,2010,43,X,0.490305,22,27,4487
New York City,2010,43,X,1.30236,1207,41,92678
Alabama,2010,44,X,2.83371,342,35,12069
Alaska,2010,44,X,0.683851,13,8,1901
Arizona,2010,44,X,1.18573,312,55,26313
Arkansas,2010,44,X,1.09028,57,19,5228
California,2010,44,X,2.52326,887,131,35153
Colorado,2010,44,X,0.971705,193,12,19862
Connecticut,2010,44,X,0.396743,19,20,4789
Delaware,2010,44,X,0.222332,9,14,4048
District of Columbia,2010,44,X,2.99118,95,4,3176
Florida,2010,44,X,X,X,X,X
Georgia,2010,44,X,2.65614,1033,62,38891
Hawaii,2010,44,X,1.77398,27,18,1522
Idaho,2010,44,X,1.82724,88,13,4816
Illinois,2010,44,X,1.4893,625,79,41966
Indiana,2010,44,X,0.842254,107,42,12704
Iowa,2010,44,X,0.35878,18,10,5017
Kansas,2010,44,X,0.481289,49,43,10181
Kentucky,2010,44,X,0.289678,38,15,13118
Louisiana,2010,44,X,2.80934,492,39,17513
Maine,2010,44,X,0.176471,9,29,5100
Maryland,2010,44,X,1.45386,147,20,10111
Massachusetts,2010,44,X,0.812421,225,53,27695
Michigan,2010,44,X,0.863417,138,51,15983
Minnesota,2010,44,X,0.805802,50,18,6205
Mississippi,2010,44,X,3.3557,550,45,16390
Missouri,2010,44,X,1.16768,100,31,8564
Montana,2010,44,X,0.0405186,1,7,2468
Nebraska,2010,44,X,0.376712,11,14,2920
Nevada,2010,44,X,1.76761,204,35,11541
New Hampshire,2010,44,X,0.294372,17,30,5775
New Jersey,2010,44,X,1.82877,113,25,6179
